#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACE	C3	9606.ENSP00000290866	9606.ENSP00000245907	0	0	0	0	0.071	0	0	0.400	0.419
ACE	SPP1	9606.ENSP00000290866	9606.ENSP00000378517	0	0	0	0	0	0	0	0.465	0.465
ACE	PECAM1	9606.ENSP00000290866	9606.ENSP00000457421	0	0	0	0	0.069	0	0	0.455	0.471
ACE	LCN2	9606.ENSP00000290866	9606.ENSP00000362108	0	0	0	0	0.061	0	0	0.498	0.508
ACE	F2	9606.ENSP00000290866	9606.ENSP00000308541	0	0	0	0	0.055	0	0	0.578	0.584
ACE	VCAM1	9606.ENSP00000290866	9606.ENSP00000294728	0	0	0	0	0.062	0	0	0.585	0.594
ACE	IL6	9606.ENSP00000290866	9606.ENSP00000385675	0	0	0	0	0.061	0	0	0.688	0.695
C1R	C3	9606.ENSP00000438615	9606.ENSP00000245907	0	0	0	0	0.190	0.050	0	0.738	0.781
C1R	C9	9606.ENSP00000438615	9606.ENSP00000263408	0	0	0	0	0.062	0.084	0	0.394	0.434
C1R	C6	9606.ENSP00000438615	9606.ENSP00000263413	0	0	0	0	0.098	0.084	0	0.405	0.465
C1R	CR1	9606.ENSP00000438615	9606.ENSP00000356016	0	0	0	0	0.049	0	0	0.644	0.646
C1R	CFH	9606.ENSP00000438615	9606.ENSP00000356399	0	0	0	0	0.225	0	0	0.574	0.656
C1R	C1S	9606.ENSP00000438615	9606.ENSP00000385035	0	0	0	0.879	0.874	0.870	0.900	0.958	0.998
C1S	C3	9606.ENSP00000385035	9606.ENSP00000245907	0	0	0	0	0.162	0.050	0	0.744	0.778
C1S	C9	9606.ENSP00000385035	9606.ENSP00000263408	0	0	0	0	0.063	0.084	0	0.419	0.457
C1S	C6	9606.ENSP00000385035	9606.ENSP00000263413	0	0	0	0	0.109	0.084	0	0.333	0.409
C1S	CR1	9606.ENSP00000385035	9606.ENSP00000356016	0	0	0	0	0	0	0	0.588	0.588
C1S	CFH	9606.ENSP00000385035	9606.ENSP00000356399	0	0	0	0	0.249	0	0	0.591	0.679
C3	FGB	9606.ENSP00000245907	9606.ENSP00000306099	0	0	0	0	0.195	0	0	0.286	0.401
C3	VCAM1	9606.ENSP00000245907	9606.ENSP00000294728	0	0	0	0	0.088	0	0	0.373	0.403
C3	F2	9606.ENSP00000245907	9606.ENSP00000308541	0	0	0	0	0.108	0.050	0	0.452	0.496
C3	C6	9606.ENSP00000245907	9606.ENSP00000263413	0	0	0	0	0.112	0	0	0.551	0.584
C3	C9	9606.ENSP00000245907	9606.ENSP00000263408	0	0	0	0	0.177	0	0	0.610	0.665
C3	PF4	9606.ENSP00000245907	9606.ENSP00000296029	0	0	0	0	0.062	0	0.900	0.265	0.925
C3	SPP1	9606.ENSP00000245907	9606.ENSP00000378517	0	0	0	0	0.098	0	0.900	0.288	0.930
C3	FGG	9606.ENSP00000245907	9606.ENSP00000336829	0	0	0	0	0.200	0	0.900	0.312	0.940
C3	FGA	9606.ENSP00000245907	9606.ENSP00000306361	0	0	0	0	0.217	0	0.900	0.359	0.945
C3	IL6	9606.ENSP00000245907	9606.ENSP00000385675	0	0	0	0	0.071	0	0.900	0.590	0.958
C3	CFI	9606.ENSP00000245907	9606.ENSP00000378130	0	0	0	0	0.143	0.871	0.900	0.798	0.997
C3	CR1	9606.ENSP00000245907	9606.ENSP00000356016	0	0	0	0	0.061	0.870	0.900	0.840	0.997
C3	CFH	9606.ENSP00000245907	9606.ENSP00000356399	0	0	0	0	0.118	0.870	0.900	0.933	0.999
C6	C9	9606.ENSP00000263413	9606.ENSP00000263408	0	0	0	0.733	0.171	0	0.900	0.655	0.928
C6	FGB	9606.ENSP00000263413	9606.ENSP00000306099	0	0	0	0	0.270	0	0	0.214	0.402
C6	CFH	9606.ENSP00000263413	9606.ENSP00000356399	0	0	0	0	0.108	0	0	0.410	0.451
C6	F2	9606.ENSP00000263413	9606.ENSP00000308541	0	0	0	0	0.112	0.389	0	0.091	0.464
C6	CFI	9606.ENSP00000263413	9606.ENSP00000378130	0	0	0	0	0.173	0.084	0	0.403	0.508
C6	FGA	9606.ENSP00000263413	9606.ENSP00000306361	0	0	0	0	0.598	0	0	0.220	0.673
C6	FGG	9606.ENSP00000263413	9606.ENSP00000336829	0	0	0	0	0.584	0	0	0.249	0.674
C9	GDF15	9606.ENSP00000263408	9606.ENSP00000252809	0	0	0	0	0	0	0	0.547	0.547
C9	F2	9606.ENSP00000263408	9606.ENSP00000308541	0	0	0	0	0.144	0.080	0	0.304	0.404
C9	CFI	9606.ENSP00000263408	9606.ENSP00000378130	0	0	0	0	0.109	0.084	0	0.500	0.556
C9	CFH	9606.ENSP00000263408	9606.ENSP00000356399	0	0	0	0	0.272	0	0	0.476	0.602
C9	FGG	9606.ENSP00000263408	9606.ENSP00000336829	0	0	0	0	0.921	0	0	0.235	0.937
C9	FGA	9606.ENSP00000263408	9606.ENSP00000306361	0	0	0	0	0.922	0	0	0.243	0.938
C9	FGB	9606.ENSP00000263408	9606.ENSP00000306099	0	0	0	0	0.923	0	0	0.243	0.939
CFH	VCAM1	9606.ENSP00000356399	9606.ENSP00000294728	0	0	0	0	0.306	0	0	0.169	0.400
CFH	F2	9606.ENSP00000356399	9606.ENSP00000308541	0	0	0	0	0.099	0	0	0.374	0.411
CFH	IL6	9606.ENSP00000356399	9606.ENSP00000385675	0	0	0	0	0.076	0	0	0.640	0.653
CFH	CFI	9606.ENSP00000356399	9606.ENSP00000378130	0	0	0	0	0.119	0.870	0.900	0.939	0.999
CFI	FGA	9606.ENSP00000378130	9606.ENSP00000306361	0	0	0	0	0.306	0.157	0	0.255	0.526
CFI	FGG	9606.ENSP00000378130	9606.ENSP00000336829	0	0	0	0	0.303	0.157	0	0.215	0.499
CFI	CR1	9606.ENSP00000378130	9606.ENSP00000356016	0	0	0	0	0	0	0.900	0.471	0.944
